nft_id,trade_price,floor_price,Accessories,Background,Body,Eyes,Hat,Mouth,Accessories_Background_freq,Accessories_Body_freq,Accessories_Eyes_freq,Accessories_Hat_freq,Accessories_Mouth_freq,Background_Body_freq,Background_Eyes_freq,Background_Hat_freq,Background_Mouth_freq,Body_Eyes_freq,Body_Hat_freq,Body_Mouth_freq,Eyes_Hat_freq,Eyes_Mouth_freq,Hat_Mouth_freq,Mouth_freq,Accessories_freq,Background_freq,Body_freq,Eyes_freq,Hat_freq
1437,8.55,8.55,Gold Chain,Lavender Dusk Purple,Chocolate,Normal,Cowboy,Happy,0.0093,0.0067,0.0233,0.0087,0.0147,0.0047,0.0353,0.0073,0.0213,0.0113,0.0033,0.01,0.0167,0.0553,0.0127,0.226,0.09,0.1187,0.0433,0.2567,0.058
1250,8.67,7.84,nan,Rose Quartz Pink,Tan - Overweight,Red Round Shades,No Hat,Toothy,0.048,0.0313,0.0233,0.132,0.074,0.008,0.0107,0.0407,0.022,0.0033,0.016,0.0147,0.0247,0.0127,0.0533,0.1853,0.4247,0.116,0.0727,0.0587,0.3147
247,7.84,7.84,Scarf,Rose Quartz Pink,Cream,Goggles,Afro,Surprised,0.0167,0.014,0.004,0.0087,0.0133,0.0093,0.006,0.01,0.0173,0.0067,0.0013,0.0133,0.0047,0.0067,0.008,0.1187,0.1393,0.116,0.0787,0.0573,0.07
247,7.75,7.75,Scarf,Rose Quartz Pink,Cream,Goggles,Afro,Surprised,0.0167,0.014,0.004,0.0087,0.0133,0.0093,0.006,0.01,0.0173,0.0067,0.0013,0.0133,0.0047,0.0067,0.008,0.1187,0.1393,0.116,0.0787,0.0573,0.07
441,8.86,7.79,Bow Tie,Lavender Dusk Purple,Black - Overweight,Normal,Party Hat,Happy,0.01,0.014,0.02,0.0067,0.0207,0.0187,0.0353,0.0067,0.0213,0.0393,0.008,0.042,0.0127,0.0553,0.012,0.226,0.0933,0.1187,0.1773,0.2567,0.05
441,8.05,8.05,Bow Tie,Lavender Dusk Purple,Black - Overweight,Normal,Party Hat,Happy,0.01,0.014,0.02,0.0067,0.0207,0.0187,0.0353,0.0067,0.0213,0.0393,0.008,0.042,0.0127,0.0553,0.012,0.226,0.0933,0.1187,0.1773,0.2567,0.05
441,6.65,6.65,Bow Tie,Lavender Dusk Purple,Black - Overweight,Normal,Party Hat,Happy,0.01,0.014,0.02,0.0067,0.0207,0.0187,0.0353,0.0067,0.0213,0.0393,0.008,0.042,0.0127,0.0553,0.012,0.226,0.0933,0.1187,0.1773,0.2567,0.05
1378,12.94,7.79,nan,Midnight Sapphire Blue,Cream,White Shades,Leprechaun,Surprised,0.0567,0.0327,0.066,0.0053,0.056,0.0093,0.0147,0.0013,0.0133,0.01,0.002,0.0133,0.0027,0.0167,0.002,0.1187,0.4247,0.1167,0.0787,0.148,0.01
65,7.79,7.79,Scarf,Rose Quartz Pink,Black,Normal,No Hat,Happy,0.0167,0.0347,0.0467,0.0473,0.0353,0.032,0.0273,0.0407,0.0247,0.0613,0.0727,0.0613,0.0747,0.0553,0.0707,0.226,0.1393,0.116,0.2333,0.2567,0.3147
65,8.6,8.6,Scarf,Rose Quartz Pink,Black,Normal,No Hat,Happy,0.0167,0.0347,0.0467,0.0473,0.0353,0.032,0.0273,0.0407,0.0247,0.0613,0.0727,0.0613,0.0747,0.0553,0.0707,0.226,0.1393,0.116,0.2333,0.2567,0.3147
